# Blockpost room-protocol capture, started 2026-08-23 14:26:01
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
15077,6 ==== FIELDWATCH ON ====
15086,0 # net: TcpClient.Connected = True
15108,7 #   player.GPBAJMJILMA len=2 [0, 0]
17799,3 fw Controll.static GIPNIMALPEG          0.3629 -> 0.9351
17805,4 fw Controll.static IGLCENGMMMJ           23.55 -> 23.25
17815,7 fw Controll.static MKFDGFOCKNO         17.4841 -> 17.5341
17815,7 fw Controll.static LEKCBKLAILO         17.5341 -> 17.5841
17815,7 fw Controll.static OFJKHAFJIMA          0.0053 -> 0.0027
17820,2 fw Controll.static GIPNIMALPEG          0.9351 -> 0.353
17833,2 fw Controll.static IGLCENGMMMJ           23.25 -> 22.95
17849,3 fw Controll.static GIPNIMALPEG           0.353 -> 0.9348
17853,7 fw Controll.static NAKNALFCOIF           90.15 -> 90
17853,7 fw Controll.static IGLCENGMMMJ           22.95 -> 22.65
17866,7 fw Controll.static MKFDGFOCKNO         17.5341 -> 17.5841
17866,8 fw Controll.static LEKCBKLAILO         17.5841 -> 17.6341
17866,8 fw Controll.static OFJKHAFJIMA          0.0027 -> 0.0009
17872,0 fw Controll.static GIPNIMALPEG          0.9348 -> 0.39
17882,8 fw player          LNIDBHIAJJI              17 -> 16
17882,8 fw Controll.static NAKNALFCOIF              90 -> 89.85
