# Blockpost room-protocol capture, started 2026-08-23 02:50:26
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>

13225,4 ==== CAPTURE ON ====
13230,2 # net: TcpClient.Connected = True
20158,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 35,614 0 79,528 9,15 273,6 b5 i297656632
20202,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 35,43 0 79,73 9 268,8 b5 i297656677
20252,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 35,43 0 79,92 8,25 264,3 b5 i297656726
20302,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 35,43 0 80,095 7,05 258,9 b5 i297656776
20331,6 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) :
20350,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 35,43 0 80,253 6 253,35 b5 i297656824
20405,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 35,43 0 80,389 4,65 247,05 b5 i297656879
20426,5 tx hdr=0xF5 op=0x0F slot/15 : b1
20457,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 35,187 1 80,42 3,75 242,55 b1 i297656935
20501,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 34,702 1 80,42 3,3 240 b1 i297656980
20558,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 34,219 1 80,42 3,15 238,8 b1 i297657036
20600,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 33,738 1 80,42 3,15 238,65 b1 i297657079
20651,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 33,258 1 80,176 3,15 238,65 b1 i297657129
20700,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 32,781 1 79,909 2,85 237,6 b1 i297657179
20752,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 32,31 1 79,622 2,85 235,35 b1 i297657231
20802,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 31,858 1 79,304 2,85 229,5 b1 i297657281
20854,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 31,445 1 78,939 2,85 219 b1 i297657332
20899,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 31,089 1 78,525 2,85 209,1 b1 i297657377
20954,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,782 1 78,072 2,85 204,45 b1 i297657433
21009,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,511 1 77,594 2,85 202,8 b1 i297657487
21055,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,267 2 77,098 2,85 201,3 b1 i297657533
21101,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,049 1 76,589 2,85 198,75 b17 i297657580
21154,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,831 1 76,589 2,85 197,25 b1 i297657632
21201,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,649 1 76,589 2,85 193,2 b1 i297657679
21254,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,504 1 76,589 2,85 189 b1 i297657732
21301,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,504 1 76,589 2,85 185,55 b1 i297657780
21353,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,425 1 76,589 2,85 183,75 b1 i297657831
21404,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,425 1 76,589 2,85 182,55 b1 i297657882
21463,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,425 1 76,589 2,85 179,1 b1 i297657942
